day_of_year,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Median,Average
68,75025.28528448926,80678.47384299754,84162.87753303965,106034.46267226452,60488.964801767725,90651.04833203771,101423.80361487661,164554.23441825082,78292.24275028722,108600.39376677069,138196.23815192917,75408.15748734474,68527.58,87406.96293253868,96959.68188800463
69,73630.2838862308,82163.92330385828,84189.39773392993,110410.92369369188,57652.456902128804,90596.82650596596,96981.9284671533,170862.81066433463,73595.34353774236,107577.49840119145,138293.58459514964,74272.31055236253,69808.73,87393.11211994794,96685.60735364497
70,74521.20914898411,83069.82240688316,84999.28386881012,103960.42380227984,62387.58822400554,89340.72599049936,98056.96201483026,173962.5703920189,72671.55972974646,109253.24106423739,138774.16946627104,77619.27847224759,70331.35,87170.00492965474,97384.73621506781
71,74433.28889279134,83114.83602690925,85376.68672763337,108729.03131086178,59842.42566998578,89564.53523002958,97749.89776387441,172909.5718552153,72811.4493946935,116632.0837532547,146316.65843514138,77976.27365169718,70233.42,87470.61097883148,98788.06155934064
72,75318.35280513181,80976.68907567035,84058.83674493161,110037.36654340015,59900.83880738571,89169.06199646789,68635.58908006024,184202.77370105177,70452.18010955327,128956.18209542296,143896.72777318882,76083.22351741396,70846.75,82517.76291030098,97640.65185413987
73,73792.05715762547,80008.89624510957,84228.15802753881,110238.30842282248,53851.41189401057,89133.99085790235,69495.78877302747,181824.3157078629,73994.17670885708,131694.0474577844,147984.7324071519,78793.88119193689,70905.33,82118.52713632419,97919.98040430248
74,74428.59981246106,80630.64687171984,84432.15957284867,110483.51062810875,54139.48296062749,90352.48219188087,65121.08007183409,169927.22772594632,73582.0198226599,130080.77005987287,144497.54985897345,78806.24109428367,72473.79,82531.40322228425,96373.48088926809
75,74436.80570303906,81457.77213969911,85040.08417787208,104063.1077582842,55724.43045445089,92542.81323400514,66263.6504692388,169965.06868210484,76734.6948510972,133415.35991749406,139525.72283326997,77069.30963562765,74380.82,83248.9281587856,96353.23498801525
76,72960.91766908324,80419.64552784759,85056.40430149688,97991.47625626756,51802.630036730116,91974.52235053814,61838.93733634574,176986.07485956556,76305.49556917042,146734.26557513422,133273.10456936547,78731.31386808748,74135.37,82738.02491467223,96172.8989933027
77,71631.5633954487,72227.16668310062,85403.20692852365,85299.38521152132,53706.68876211164,91950.7570395365,67081.00685899664,173942.92568511365,77958.94431801423,144612.84497091625,138190.17169306625,77151.69962104382,71029.13,81629.16476476777,94929.69676394945
78,71653.83652701754,73909.55073157542,83142.8698064903,91551.59884306288,55736.7417434993,92608.11015646603,66174.3832985749,175834.85278823558,78745.08088155383,150250.0686592545,136685.16413529133,80938.07143291942,69992.9,82040.47061970487,96435.86075032841
79,68648.13603530769,74044.59159165368,83163.26996102129,92178.3250572964,58386.288312110424,93049.03743145807,77029.04900938478,175904.55981273815,77069.8993407873,148547.3039062571,124914.02979448556,78773.47798950231,70671.39,80968.3739752618,95975.66402016689
80,66928.41582417727,73405.96085753363,84150.63744032105,98164.09152713697,58109.34979410112,91905.99519163044,76616.04944386514,173713.94867129315,76899.68093870307,150156.3707615529,136683.80929281193,78791.97102521056,70072.02,81471.3042327658,97127.1900640281
81,66084.38136472678,75501.9075399981,84093.51700763429,89647.51962439575,57030.5403484437,91984.21305987863,76229.34850538755,164203.49643305904,79551.73559258365,145277.73761814434,132082.19802998356,78630.9364793318,68245.78,81822.62630010897,95026.46096696392
82,65819.44832606593,74894.22366964597,85080.88448693405,91113.42161700978,57047.43562809525,92096.57914199331,72806.8229579423,164457.97233679495,79565.26486287775,150893.10912328708,127632.65266931932,79960.51552003747,70770.52,82520.70000348576,95114.0275283336
83,68507.46362539925,69953.97887178346,85184.92527504209,82865.06728900409,56473.97840364325,91905.99519163044,79679.77776039856,158547.14859719086,82223.93465720602,146548.20222992593,130577.02869997227,81623.71828848244,70175.03,82544.50097310505,94507.60157413989
84,68399.61477780281,69104.34679379115,85042.12419332517,84081.34104374543,56290.61877951791,90430.23859777952,83466.90352218748,157405.0397385881,82631.86831814566,146675.58446855322,135539.10894843598,82064.45180633149,71250.8,83774.12228296645,95094.27008235031
85,68216.74064492185,70643.24992843284,85091.08456419955,84699.21519280616,53532.2351768724,90694.19506172034,82297.66409454294,164468.0813641579,83184.77446381132,149362.9766175339,141493.70230993422,81433.5349729025,68554.36,83941.99482830874,96259.7878659863
86,55733.23653563239,69945.53881802857,85103.32465691815,90821.3034663077,51916.05106136764,92861.2222551925,83308.61788900474,169434.66159566276,87331.12207220578,144861.10709121992,141537.88635198592,81603.87689979092,66066.39,86217.22336456197,96204.82905777641
87,58656.87812156234,70707.95700722034,86920.97842562907,91951.71218887297,52046.17090891658,92829.8428154233,82264.57474220832,167723.6106418344,88465.0954275333,145070.72815587308,139871.30877316158,78770.96855478342,66343.27,87693.03692658119,96273.3188135849
88,57674.51579236856,68316.60844333471,86123.33238346748,91695.88750537935,46857.87937313008,94318.75108623631,76914.71788900475,173850.85809560833,88412.92177744885,151368.52735280807,143172.8374586048,77074.18805162968,66119.59,87268.12708045816,96315.08543408506
89,54032.27264582312,69878.01838798945,84899.32311160828,90905.39808544921,44704.58253009818,94256.22293787272,72812.74940910672,177566.81584941468,88075.94203820358,148846.3057299805,141431.41999894148,77002.74407064031,66745.09,86487.63257490593,95367.64956626068
90,53366.42323892327,68682.34410604663,84252.63821297599,94867.58245678998,45388.64489924578,94787.36610220117,79793.61500984822,177626.68543236406,85407.29347269153,151961.46768951448,141163.12074496358,77054.03766537947,68266.98,84829.96584283376,96195.93491924535
91,56175.18235676134,69163.42717007539,85031.92411605969,94949.02145637965,44557.043518257335,95559.16188181832,79521.49212721585,177704.87196937104,86392.5196021336,151918.56279324045,143336.89472778802,79710.77994769576,68256.91,85712.22185909664,97001.7401388997
92,51487.27429656333,70713.58370972359,85056.40430149688,96097.13430929052,45930.34161737606,110588.75987538541,82309.27006140655,178090.22205720545,86291.42381167627,150060.70083756297,141428.22499727365,77214.00476514647,66860.33,85673.91405658657,97938.9453866756
93,52864.69164358325,71360.65449759853,85325.68634130589,101521.67984717619,48601.563912982,114490.88550315383,84015.5941258255,173636.6070679165,86642.68029471257,148392.63308763938,132413.56823460635,77588.3412621311,66834.57,85984.18331800922,98071.2154848859
94,52954.95643994116,71338.14768758549,85164.52512051111,100462.08764599325,44308.46025640741,112977.98119016441,83368.12933611401,175674.28522227108,87317.2003783258,150107.12340235143,133614.1406651099,78617.03158919167,67389.54,86240.86274941845,97992.00574449722
95,54305.41157506196,72817.97044594293,85233.88564591647,99569.79947657601,44529.212146738304,115743.06358864928,84477.85731664929,177626.8363133695,85457.16864177298,150167.8831312364,138257.69138021066,77873.74264359317,68732.22,85345.52714384472,98838.37685880974
96,53627.83946733642,72255.3001956169,86025.41164171875,105274.95548043914,43292.18953969273,116897.41165604081,83592.22327076817,175572.1086054028,81407.61885122862,149227.59967773757,136732.28029912672,72721.84507502003,68655.94,84808.81745624346,98052.23198001074
97,52640.78805781236,71492.88200642513,86049.89182715594,105265.21820874908,45303.906558667855,119687.64375257601,89500.52467848454,169880.1226760552,81505.46313197438,148596.2847754196,139724.78357009226,74527.57999007314,71900.42,87775.20825282024,98681.2574361238
98,53136.658302739525,69180.30727758516,85970.3312244851,104220.67451835985,45889.67507216826,121306.91513713602,88458.95088633994,174078.29612317355,78848.88626343745,148669.8893241829,139991.66731700214,71602.61846326926,70931.44,87214.64105541252,98446.23915915658
99,51806.13175902241,68344.74195585102,85364.44663491477,107172.83825348532,43939.90741191548,119783.85865245655,90778.16877534469,175520.47712534922,79664.88439317868,151264.7028336257,144811.83287113236,77775.67805474631,71708.04,88071.30770512973,99685.63906008519
100,43404.472077242186,66147.51462832787,85146.16498143322,106584.17591949478,44741.12348376316,122186.46237537237,90380.72614413162,179072.36687386537,78839.91658147452,157312.7475660388,139761.46542468344,74427.82059643477,72927.82,87763.44556278242,99000.41305435517
101,49635.087566102506,66727.06498616369,86013.17154900017,108015.55485793493,45350.139378179454,116278.1291829489,84512.18134630982,180563.8859648123,74296.60448570762,160977.19879389607,143037.59586902056,77932.6769052376,73285.01,85262.67644765499,99444.94090710947
102,49601.09173370797,66712.99822990553,86070.29198168693,107673.86514226522,51435.19044709895,116988.08900772675,84635.77254663424,180836.7089988069,74594.04287696625,159150.99585484815,141635.23279520642,79733.28995166671,70775.86,85353.03226416057,99922.29746387668
103,48810.981698055686,63058.454954037974,87014.81913647162,103875.44397662104,51982.06052605277,116980.70561013401,86495.9374058626,190482.19973688904,77007.44793012032,161201.95649276266,135260.19339144795,77994.15805585048,74701.15,86755.37827116711,100013.69657619217
104,53903.3229367404,60849.97422150832,86729.2169730378,104102.94205156175,52645.62590864635,118407.31646375821,84525.26892596454,190201.6515954171,74415.88256897732,162504.87959129072,130979.61913164589,79080.2657474493,74136.2,85627.24294950117,99862.1638429998
105,61321.44801924427,62222.88963230383,86906.69831745738,104287.95021367306,54509.738430200574,116401.80109262747,84909.2535743251,190610.17700568357,75398.71678322926,161222.15643771653,132162.59883144693,78506.43855387511,74948.73,85907.97594589124,100704.9889076486
106,61911.09987077706,64338.52977352969,87520.74296884009,104014.42139983385,52630.6297108161,119700.7954295381,81733.4165565983,186464.57050085242,75397.5955729839,161283.28925265605,127734.48829209837,78811.07269247378,74969.38,84627.0797627192,100128.38766841647
107,58449.38631694742,62878.400473933645,88071.54714117675,104778.35462424564,51557.582996202604,120113.5735012078,88144.97244235894,183864.61919171168,74290.02671893478,157260.8886044554,129073.39620620628,79627.34124329258,76942.51,88108.25979176784,99842.50745505613
108,56560.859213926924,62959.987660230916,87116.81990912656,106466.44345269668,53432.30418172408,121206.3163449348,87411.45064303094,169957.64533663835,76164.09227039212,161219.0118552567,124451.15898324393,78884.03357056934,75865.56,87264.13527607874,98819.17695181427
109,59058.9667598839,62929.040796463,87088.25969278316,106461.132213593,54200.64649238929,121683.69914554106,89461.01500405515,169627.51769678647,77197.81074294634,153877.1046856405,128837.0065258474,79697.75523241972,74094.84,88274.63734841916,99176.66291569575
110,58794.03372122305,62999.37457775375,88104.18738842632,108959.18500535433,57730.581199122214,122424.3462165638,88496.11467385008,170220.66110528086,77364.12359600923,150361.03511148127,128892.77750432727,79646.0309138109,75866.85,88300.1510311382,99499.37091776692
111,58220.793650846244,65846.48604440346,90105.44254791614,110176.34396661294,57710.8045539487,121976.49700632856,84542.43094079482,164271.1514758879,75347.27191980432,145189.20962719875,130686.95293456856,81573.42659491838,75902.11,87323.93674435548,98803.9009386024
112,57354.48605982691,65711.4451843252,92114.85776921836,110125.00198861076,57733.33159348409,123955.47829236035,85330.5254779284,156578.5437671161,74317.571117296,148414.27207880365,131327.71254120086,87356.46572241774,78511.47,89735.66174581804,99193.30763271569
113,57388.48189222144,66032.16722701104,91162.17055262126,110183.42561875118,58386.02636979025,128204.85433816278,87739.99827945778,153095.15399505914,74398.98966794711,146824.76559236815,135198.982821521,87470.77609200073,78314.95,89451.08441603952,99673.81603724265
114,58885.470787663515,65134.70817774102,91961.85661023595,110713.66432260131,62683.77950254801,125438.38755262925,93004.04505851002,151712.66151862638,73713.46303709186,146565.84387050572,133884.2396352171,87487.36832454504,77600.6,92482.95083437298,100098.79069982626
115,54709.844753548656,63834.9398994879,93622.4291890583,112690.33047568529,59695.27957162521,118628.81839154071,92635.37040899084,146363.71864319433,75366.91178593566,150316.85106302015,129372.61417885555,88597.30628241094,77617.92,93128.89979902457,98819.5345536128
