date,BTC Price,Fleet Efficiency (J/GH),Network Power Draw (W),Daily Electricity Consumption (kWh),Subsidy (BTC),Fees (BTC),Miner Revenue (BTC),Power Expense ($0.03/kWh),Power Expense ($0.04/kWh),Power Expense ($0.05/kWh),Power Expense ($0.06/kWh),Power Expense ($0.07/kWh),Power-Only Break-Even Tariff ($/kWh),Legacy PUE/Subsidy-Only Cost,Bitcoin Production Cost,Hayes Network Price,Energy Value
2025-12-14,88143.26,0.03306945917,31426598067.67768,754238353.6242644,403.125,1.94164321,405.06664321,55860.31579746067,74480.4210632809,93100.52632910114,111720.63159492135,130340.7368607416,0.0473376808249302,102903.83739369811,171506.3956561635,93548.94308518007,236581.12364642805
2025-12-15,86143.47,0.03306945917,32888300303.383617,789319207.2812068,421.875,2.7841926,424.6591926,55761.364951166266,74348.48660155502,92935.60825194378,111522.72990233253,130109.85155272132,0.0463457826447261,102903.8373936981,171506.39565616348,93548.94308518006,247584.89683928512
2025-12-16,87847.79,0.03306945917,36786172931.932785,882868150.3663869,471.875,2.75666479,474.63166479,55803.36601164255,74404.48801552341,93005.61001940425,111606.7320232851,130207.85402716597,0.047227145750493894,102903.8373936981,171506.39565616348,93548.94308518006,276928.2920202374
2025-12-17,86104.66,0.03306945917,34106385499.805237,818553251.9953257,437.5,2.83527897,440.33527897,55767.95394931963,74357.27193242617,92946.5899155327,111535.90789863926,130125.2258817458,0.046319429297110054,102903.8373936981,171506.39565616348,93548.94308518007,256754.7078333327
2025-12-18,85235.69,0.03306945917,35080853656.94253,841940487.7666206,450.0,2.74167775,452.74167775,55789.462014022894,74385.94935203053,92982.43669003816,111578.92402804579,130175.41136605343,0.04583429571981301,102903.8373936981,171506.39565616348,93548.94308518007,264122.0282318556
2025-12-19,88104.27,0.03306945917,35324470696.22685,847787296.7094444,453.125,3.28108111,456.40608111,55725.854571060125,74301.13942808016,92876.42428510022,111451.70914212025,130026.99399914031,0.04743091192311019,102903.8373936981,171506.39565616348,93548.94308518006,265956.20898346574
2025-12-20,88121.37,0.03306945917,35811704774.795494,859480914.5950918,459.375,2.18866688,461.56366688,55863.208670964,74484.278227952,93105.34778494001,111726.417341928,130347.486898916,0.04732347394456209,102903.8373936981,171506.39565616348,93548.94308518006,269656.7536628696
2025-12-21,88204.43,0.03306945917,33862768460.520912,812706443.0525019,434.375,1.9042603,436.2792603,55884.373863680215,74512.49848490696,93140.6231061337,111768.74772736043,130396.87234858719,0.04735013953014416,102903.8373936981,171506.39565616348,93548.94308518007,255011.99211839476
2025-12-22,88258.11,0.03306945917,34350002539.08955,824400060.9381492,440.625,2.55881298,443.18381298,55805.29140232967,74407.05520310623,93008.81900388279,111610.58280465934,130212.3466054359,0.047446097555714335,102903.83739369806,171506.39565616345,93548.94308518007,258773.84581703806
2025-12-23,87170.1,0.03306945917,35324470696.22685,847787296.7094444,453.125,2.55184313,455.67684313,55815.03489749945,74420.04652999926,93025.05816249909,111630.0697949989,130235.08142749872,0.0468530209611525,102903.8373936981,171506.39565616348,93548.94308518006,266083.17537334136
2025-12-24,87693.35,0.03306945917,38735109246.207375,929642621.908977,496.875,2.73673796,499.61173796,55821.90436747142,74429.20582329523,93036.50727911903,111643.80873494284,130251.11019076665,0.04712846202239246,102903.8373936981,171506.39565616348,93548.94308518006,291634.73950600723
2025-12-25,87341.58,0.03306945917,34120913902.819912,818901933.6676779,437.5,2.11259235,439.61259235,55883.42653859,74511.23538478666,93139.04423098333,111766.85307718,130394.66192337667,0.04688773688905068,102947.67166107953,171579.45276846588,93588.79241916319,256956.0205156506
2025-12-26,87217.98,0.03306945917,38751609361.05975,930038624.6654341,496.875,2.4164031,499.2914031,55881.51241285216,74508.68321713622,93135.85402142028,111763.02482570431,130390.19562998839,0.04682298826611971,102947.67166107951,171579.45276846585,93588.7924191632,291689.40868466574
2025-12-27,87685.77,0.03306945917,33146030648.45362,795504735.562887,425.0,2.11863218,427.11863218,55874.738933957706,74499.65191194361,93124.56488992952,111749.47786791541,130374.39084590133,0.04707982802585011,102947.67166107951,171579.45276846585,93588.79241916319,249614.4199294891
2025-12-28,87609.64,0.03306945917,38264167733.87661,918340025.6130385,490.625,2.17993758,492.80493758,55904.879735339026,74539.83964711872,93174.79955889838,111809.75947067805,130444.71938245774,0.04701359188039869,102947.6716610795,171579.45276846582,93588.79241916318,288089.04393566115
2025-12-29,87108.55,0.03306945917,37533005293.1019,900792127.0344455,481.25,2.74481742,483.99481742,55834.82061871489,74446.42749161985,93058.03436452482,111669.64123742978,130281.24811033477,0.046803347284760155,102947.6716610795,171579.45276846582,93588.79241916318,282617.8878161758
2025-12-30,88154.53,0.03306945917,29002776817.39692,696066643.6175262,371.875,2.97274513,374.84774513,55707.94964041667,74277.26618722222,92846.58273402779,111415.89928083334,129985.21582763891,0.047473222710054476,102947.67166107951,171579.45276846585,93588.79241916319,218569.07127853628
2025-12-31,87291.86,0.03306945917,32414868207.678913,777956836.9842939,415.625,3.15528709,418.78028709,55730.190338479566,74306.92045130608,92883.65056413261,111460.38067695913,130037.11078978567,0.04698989513753462,102947.6716610795,171579.45276846582,93588.79241916319,244253.91210295368
2026-01-01,88448.95,0.03210000983,35959552641.02624,863029263.3846296,475.0,2.24123099,477.24123099,54251.133850757746,72334.84513434366,90418.55641792959,108502.26770151549,126585.97898510142,0.04891083949138397,99929.70418137817,166549.50696896363,90845.18561943469,270931.65719407046
2026-01-02,90145.35,0.03210000983,34303520611.505295,823284494.6761271,453.125,2.71702795,455.84202795,54182.22394138902,72242.96525518537,90303.70656898171,108364.44788277804,126425.1891965744,0.04991232000601176,99929.7041813782,166549.50696896366,90845.1856194347,258547.1177572581
2026-01-03,90300.85,0.03210000983,36669280653.67808,880062735.6882739,484.375,2.62027149,486.99527149,54213.83659407945,72285.1154587726,90356.39432346575,108427.6731881589,126498.95205285207,0.04996926375610624,99929.70418137821,166549.5069689637,90845.1856194347,276344.93991343834
2026-01-04,91231.13,0.03210000983,34303520611.505295,823284494.6761271,453.125,2.39616784,455.52116784,54220.3888293487,72293.85177246494,90367.31471558119,108440.7776586974,126514.24060181367,0.05047794674830029,99929.7041813782,166549.50696896366,90845.1856194347,258547.1177572581
2026-01-05,94208.64,0.03210000983,31937760569.332516,766506253.6639804,421.875,2.81714196,424.69214196,54145.54529733972,72194.06039645296,90242.5754955662,108291.09059467944,126339.60569379269,0.052197446428503505,99929.70418137818,166549.50696896366,90845.18561943472,240831.31969958614
