days_since_halving,index_value,Era
13,1.092471358428805,2nd Era
14,1.1039279869067102,2nd Era
15,1.106382978723404,2nd Era
16,1.1055646481178396,2nd Era
17,1.0949263502454991,2nd Era
18,1.085924713584288,2nd Era
19,1.0826513911620295,2nd Era
20,1.0711947626841243,2nd Era
21,1.0965630114566285,2nd Era
22,1.0949263502454991,2nd Era
23,1.0851063829787233,2nd Era
24,1.0801963993453354,2nd Era
25,1.0752864157119477,2nd Era
26,1.0826513911620295,2nd Era
27,1.0834697217675942,2nd Era
28,1.0785597381342062,2nd Era
29,1.0793780687397707,2nd Era
30,1.0810147299509,2nd Era
31,1.0728314238952537,2nd Era
32,1.0801963993453354,2nd Era
33,1.0834697217675942,2nd Era
34,1.0818330605564648,2nd Era
35,1.0654664484451717,2nd Era
36,1.0793780687397707,2nd Era
37,1.0761047463175122,2nd Era
38,1.0761047463175122,2nd Era
39,1.0761047463175122,2nd Era
40,1.0801963993453354,2nd Era
41,1.104746317512275,2nd Era
42,1.1112929623567922,2nd Era
43,1.1456628477905073,2nd Era
44,1.1456628477905073,2nd Era
45,1.1366612111292962,2nd Era
46,1.1153846153846154,2nd Era
47,1.1432078559738135,2nd Era
48,1.1677577741407528,2nd Era
49,1.1800327332242224,2nd Era
50,1.2626841243862519,2nd Era
51,1.2733224222585924,2nd Era
52,1.2684124386252045,2nd Era
53,1.2684124386252045,2nd Era
54,1.3518821603927986,2nd Era
55,1.4247135842880523,2nd Era
56,1.432078559738134,2nd Era
57,1.411620294599018,2nd Era
58,1.4312602291325693,2nd Era
59,1.414075286415712,2nd Era
60,1.4304418985270049,2nd Era
61,1.527823240589198,2nd Era
62,1.5883797054009818,2nd Era
63,1.5916530278232404,2nd Era
64,1.67430441898527,2nd Era
65,1.6767594108019637,2nd Era
66,1.6219312602291325,2nd Era
67,1.6603927986906708,2nd Era
68,1.6603927986906708,2nd Era
69,1.6824877250409163,2nd Era
70,1.7111292962356792,2nd Era
