Time,Open,High,Low,Close
2024-03-11,68699.28,73291.38,65156.05,68334.38
2024-03-18,68344.01,68424.73,61201.22,67005.98
2024-03-25,67045.36,71384.93,66717.8,70893.25
2024-04-01,70936.16,71071.55,65018.36,69228.81
2024-04-08,69229.17,72365.91,62193.94,65362.82
2024-04-15,65479.49,66820.66,60242.22,64925.12
2024-04-22,64865.6,66895.53,62592.68,63141.29
2024-04-29,63081.81,64413.01,56868.96,63875.89
2024-05-06,63895.84,65206.97,59168.32,61135.52
2024-05-13,61549.09,67103.0,60959.1,66141.22
2024-05-20,66120.14,75077.43,66116.17,68433.18
2024-05-27,68429.62,70067.67,66919.37,67635.04
2024-06-03,67624.54,71586.52,67604.5,69665.38
2024-06-10,69752.52,69963.85,65282.71,66769.29
2024-06-17,66751.23,66828.73,63570.45,63570.45
2024-06-24,63544.8,63544.8,59314.17,62597.9
2024-07-01,62658.49,63527.22,54281.28,56285.88
2024-07-08,56262.99,60989.67,52000.65,60983.88
2024-07-15,60962.11,68222.9,60895.18,68093.82
2024-07-22,68138.47,69130.57,63851.58,68197.29
2024-07-29,68291.03,69975.17,58215.1,58403.74
2024-08-05,58308.15,62267.15,50157.47,58871.39
2024-08-12,58864.89,61429.8,56920.02,59022.37
2024-08-19,58833.35,64556.7,58164.7,64531.35
2024-08-26,64523.28,64523.28,53103.82,57494.59
2024-09-02,57486.29,59540.14,53208.58,54876.58
2024-09-09,54928.16,60483.41,54867.87,59040.89
2024-09-16,58998.34,63865.75,57599.33,63566.41
2024-09-23,63563.69,66124.09,62994.55,65511.33
2024-09-30,65470.79,65491.37,60246.41,62590.81
2024-10-07,62538.41,63956.31,58948.3,62639.08
2024-10-14,62650.13,69141.29,62412.28,69141.29
2024-10-21,69116.54,69228.39,65528.28,67881.08
2024-10-28,67825.8,73124.64,67528.38,68591.06
2024-11-04,68589.06,80491.69,67209.11,80353.14
2024-11-11,80354.43,92430.43,80354.43,89410.2
2024-11-18,89717.25,99105.9,89717.25,97791.8
2024-11-25,97770.39,98747.97,91319.77,97447.48
2024-12-02,97405.9,103422.78,94377.36,100272.14
2024-12-09,100727.58,104425.19,94549.3,104425.19
2024-12-16,104572.72,107299.13,93184.2,95236.61
2024-12-23,95183.29,99009.35,92676.8,93370.11
2024-12-30,93383.54,98798.44,91356.46,98759.08
2025-01-06,98620.76,102330.53,91667.97,94317.8
2025-01-13,94370.8,105828.62,90995.86,101073.7
2025-01-20,101082.27,108211.02,100117.58,103452.13
2025-01-27,102883.25,105871.81,97079.02,97205.14
